epoch   1 | train loss  0.00000
epoch   2 | train loss  0.00000
epoch   3 | train loss  0.00000
epoch   4 | train loss  0.00000
epoch   5 | train loss  0.00000
epoch   6 | train loss  0.00000
epoch   7 | train loss  0.00000
epoch   8 | train loss  0.00000
epoch   9 | train loss  0.00000
epoch  10 | train loss  0.00000
epoch  11 | train loss  0.00000
epoch  12 | train loss  0.00000
epoch  13 | train loss  0.00000
epoch  14 | train loss  0.00000
epoch  15 | train loss  0.00000
epoch  16 | train loss  0.00000
epoch  17 | train loss  0.00000
epoch  18 | train loss  0.00000
epoch  19 | train loss  0.00000
epoch  20 | train loss  0.00000
epoch  21 | train loss  0.00000
epoch  22 | train loss  0.00000
epoch  23 | train loss  0.00000
epoch  24 | train loss  0.00000
epoch  25 | train loss  0.00000
epoch  26 | train loss  0.00000
epoch  27 | train loss  0.00000
epoch  28 | train loss  0.00000
epoch  29 | train loss  0.00000
epoch  30 | train loss  0.00000
epoch  31 | train loss  0.00000
epoch  32 | train loss  0.00000
epoch  33 | train loss  0.00000
epoch  34 | train loss  0.00000
epoch  35 | train loss  0.00000
epoch  36 | train loss  0.00000
epoch  37 | train loss  0.00000
epoch  38 | train loss  0.00000
epoch  39 | train loss  0.00000
epoch  40 | train loss  0.00000
epoch  41 | train loss  0.00000
epoch  42 | train loss  0.00000
epoch  43 | train loss  0.00000
epoch  44 | train loss  0.00000
epoch  45 | train loss  0.00000
epoch  46 | train loss  0.00000
epoch  47 | train loss  0.00000
epoch  48 | train loss  0.00000
epoch  49 | train loss  0.00000
epoch  50 | train loss  0.00000
epoch  51 | train loss  0.00000
epoch  52 | train loss  0.00000
epoch  53 | train loss  0.00000
epoch  54 | train loss  0.00000
epoch  55 | train loss  0.00000
epoch  56 | train loss  0.00000
epoch  57 | train loss  0.00000
epoch  58 | train loss  0.00000
epoch  59 | train loss  0.00000
epoch  60 | train loss  0.00000
epoch  61 | train loss  0.00000
epoch  62 | train loss  0.00000
epoch  63 | train loss  0.00000
epoch  64 | train loss  0.00000
test loss  6.68012
